restaurant_id,summary,nutrition_score
18864,"Restaurant: City Tap House - Dupont, Price Range: $, Zip Code: 20036. Menu Categories: Bar Favorites (12 items, avg price $12.31); Brick Oven Pizza (6 items, avg price $14.68); Desserts (3 items, avg price $10.75); Entrees (10 items, avg price $20.79); Picked for you (5 items, avg price $14.67); Salads And Bowls (7 items, avg price $13.37); Sandwiches (7 items, avg price $14.67); Soups (2 items, avg price $4.00).",73
18865,"Restaurant: 1914 by Kolben, Price Range: $, Zip Code: 20001. Menu Categories: Appetizers (5 items, avg price $7.69); BanhMi - Vietnamese Sandwich (5 items, avg price $8.03); Cafe (2 items, avg price $5.10); Picked for you (5 items, avg price $11.15); Rice and Noodles (4 items, avg price $14.68); Signature Drinks (3 items, avg price $5.97); Хоi - Sticky Rice  (2 items, avg price $8.25).",74
18866,"Restaurant: Flippin Pizza, Price Range: $, Zip Code: 20009. Menu Categories: (Flip) Sides (4 items, avg price $8.12); 10"" Gluten Friendly Pies (10 items, avg price $18.23); 10"" Hand Tossed Pies (11 items, avg price $17.96); 18"" Hand Tossed Pies (10 items, avg price $26.50); Build Your Own (2 items, avg price $11.10); Calzones (4 items, avg price $10.95); Lean and Green (4 items, avg price $8.75); Picked for you (5 items, avg price $17.71); Sips and Suds (2 items, avg price $5.25); The Sweet Spot (1 items, avg price $4.25).",53
18867,"Restaurant: Wagshal's on New Mexico, Price Range: $, Zip Code: 20016. Menu Categories: 10"" Signature Pizzas (9 items, avg price $12.89); Beverages (3 items, avg price $2.79); Burgers (4 items, avg price $11.88); Chips (12 items, avg price $2.25); Cold Sandwiches (30 items, avg price $11.62); Desserts (8 items, avg price $3.50); Empanadas (1 items, avg price $4.99); Hot Sandwiches (27 items, avg price $12.65); Make Your Own Sandwich (4 items, avg price $11.00); Picked for you (5 items, avg price $12.70); Roasted Chicken (3 items, avg price $11.00); Salad (7 items, avg price $14.18).",45
18870,"Restaurant: Eat Brgz, Price Range: nan, Zip Code: 20001-3716. Menu Categories: Build Your Own Brg (1 items, avg price $11.25); Kids Menu (3 items, avg price $7.67); Non-Alcoholic Beverages (8 items, avg price $3.35); Picked for you (5 items, avg price $8.59); Shakes (4 items, avg price $6.90); Side Sauces (11 items, avg price $1.05); Sides (3 items, avg price $5.03); Signature Brgz (7 items, avg price $11.25).",83
18875,"Restaurant: Chomper's Cheesesteaks, Price Range: $, Zip Code: 90804. Menu Categories: Beverages (2 items, avg price $3.39); Chomping Cheesesteaks Champ (6 items, avg price $11.49); Ice Ice Baby (3 items, avg price $9.52); Picked for you (5 items, avg price $9.85); Side To Side (2 items, avg price $6.54).",34
18878,"Restaurant: Pizza and Wings, Price Range: $, Zip Code: 20009. Menu Categories: 10"" Gluten Friendly Hand Tossed Pies (11 items, avg price $17.82); 10"" Hand Tossed Pies (11 items, avg price $17.73); 18"" Hand Tossed Pies (11 items, avg price $27.17); Build Your Own Calzone - Big (2 items, avg price $13.00); Build Your Own Pies (3 items, avg price $21.08); Calzones (1 items, avg price $11.00); Lean and Green (3 items, avg price $7.33); Picked for you (5 items, avg price $19.69); Sides (3 items, avg price $7.33); The Sweet Spot (1 items, avg price $4.25); Wings (1 items, avg price $11.00).",52
18879,"Restaurant: The Home Plate Cafe , Price Range: nan, Zip Code: 20008. Menu Categories: Bases Loaded Pizza (6 items, avg price $15.83); Burgers (2 items, avg price $18.00); Drinks (4 items, avg price $3.50); Picked for you (5 items, avg price $17.00); Signature Sauces (7 items, avg price $1.00); Signature Sides (4 items, avg price $5.00); Signature Stuffed Calzones (1 items, avg price $18.00); Starting Line Up (4 items, avg price $13.00); Triple Play Sliders (2 items, avg price $12.50).",63
18880,"Restaurant: Tazza Cafe, Price Range: nan, Zip Code: 20037. Menu Categories: Breakfast All Day (14 items, avg price $11.00); Chef Specialties (7 items, avg price $23.40); Chips (10 items, avg price $2.60); Drinks Cold (6 items, avg price $3.97); Fresh Homemade Soup  (3 items, avg price $6.50); Picked for you (5 items, avg price $16.64); Salads (9 items, avg price $16.61); Sandwiches (10 items, avg price $15.60); Small Plates (7 items, avg price $12.07); Wood Oven Pizza (15 items, avg price $15.86).",63
18886,"Restaurant: Nama Sushi - Washington, DC, Price Range: $, Zip Code: 20001. Menu Categories: Appetizer (7 items, avg price $9.57); Chef Wei Signature Sashimi Dish (4 items, avg price $20.00); Dessert (5 items, avg price $12.40); Drinks (4 items, avg price $3.00); Maki (12 items, avg price $13.42); Picked for you (5 items, avg price $13.00); Signature Maki Rolls (8 items, avg price $21.12); Sushi/Sashimi (20 items, avg price $12.15); Vegetarian Rolls (7 items, avg price $9.57); Vegetarian Sushi (2 items, avg price $5.00).",68
18892,"Restaurant: Chef Geoff's West End, Price Range: $, Zip Code: 20037. Menu Categories: Btl/Canned Beers (13 items, avg price $4.29); Burgers &amp; Sandwiches (7 items, avg price $19.43); Cocktails (2 items, avg price $0.00); Dessert (4 items, avg price $13.12); Draft Beers (4 items, avg price $0.00); Features (10 items, avg price $24.90); Kid's (7 items, avg price $11.86); Pasta (4 items, avg price $24.00); Picked for you (5 items, avg price $21.20); Pizza (5 items, avg price $17.20); Red Wine (7 items, avg price $38.14); Rose (2 items, avg price $34.00); Salads (6 items, avg price $14.00); Sides (9 items, avg price $1.22); Simple &amp; Healthy (5 items, avg price $28.00); Sparkling (1 items, avg price $32.00); Starters (9 items, avg price $12.00); White Wine (6 items, avg price $34.83).",65
18894,"Restaurant: Aasta la Pizza (Georgetown), Price Range: $, Zip Code: 20007. Menu Categories: Beverages (13 items, avg price $2.37); Create Your Own Pizza (1 items, avg price $11.99); Desserts (4 items, avg price $5.99); Grande Calzones (3 items, avg price $15.99); Pasta (5 items, avg price $14.39); Picked for you (5 items, avg price $11.79); Pizzas (6 items, avg price $15.99); Salad (1 items, avg price $8.99).",72
18896,"Restaurant: Mason’s Famous Lobster Rolls, Price Range: nan, Zip Code: 20007. Menu Categories: Beverages (8 items, avg price $3.62); Make at Home Lobster Roll Kits (2 items, avg price $33.50); Mason's Famous Lobster Rolls (6 items, avg price $18.33); Picked for you (5 items, avg price $13.80); Salads (3 items, avg price $14.33); Sides (5 items, avg price $3.00); Soups (4 items, avg price $7.00).",63
18899,"Restaurant: Big Bad Wings &amp; Tenders, Price Range: $, Zip Code: 20010. Menu Categories: Picked for you (5 items, avg price $12.39); Quesadilla  (6 items, avg price $14.16); SIDE ITEM (5 items, avg price $4.80); Salad (6 items, avg price $13.49); Sandwiches (3 items, avg price $13.32); Wings an tenders (15 items, avg price $10.80).",43
18900,"Restaurant: Rice Bar, Price Range: $$$, Zip Code: 20024. Menu Categories: Drinks (5 items, avg price $2.50); Picked for you (5 items, avg price $11.08); Signature Bibimbap (9 items, avg price $9.32); Signature Noodle (7 items, avg price $10.71).",62
18906,"Restaurant: Hard Rock Cafe (Washington DC), Price Range: $, Zip Code: 20004. Menu Categories: Appetizers (9 items, avg price $19.21); Beverages (4 items, avg price $2.19); Burgers (7 items, avg price $17.56); Desserts (3 items, avg price $10.32); Entrees (7 items, avg price $28.70); Kid's Menu (4 items, avg price $8.95); LTO (2 items, avg price $8.45); Picked for you (5 items, avg price $17.19); Salads (4 items, avg price $19.49); Sandwiches (3 items, avg price $16.66); Sides (5 items, avg price $5.93); Smokehouse BBQ Bundle (1 items, avg price $149.99).",43
